"KO","IT-H1","IT-H2","IT-H3","IT-H4","IT-H5","IT-H6"
"K00001",6.29207827345372e-05,0.000314603913672686,0.000125841565469074,0.000125841565469074,0,0
"K00003",0.000692128610079909,6.29207827345372e-05,0,6.29207827345372e-05,0.000125841565469074,6.29207827345372e-05
"K00008",0,0,0,0,0.000125841565469074,0
"K00010",0,0,0,0,0,0.000125841565469074
"K00012",6.29207827345372e-05,0,0,0.000188762348203612,0.000629207827345372,0
"K00013",0.000377524696407223,6.29207827345372e-05,0,0,0.000125841565469074,0.00106965330648713
"K00014",0.000188762348203612,0,0,0,0,0.000188762348203612
"K00015",0,0,0,0,0,0.000125841565469074
"K00016",6.29207827345372e-05,0,0,0,0,0
"K00018",6.29207827345372e-05,0,0,0,0,0.000377524696407223
"K00020",0.000125841565469074,0.000125841565469074,0,0,0.000188762348203612,0.000125841565469074
"K00027",0,6.29207827345372e-05,0,0,0,0
"K00029",0,0,0,0,6.29207827345372e-05,0.000251683130938149
"K00031",0.00044044547914176,6.29207827345372e-05,0.000125841565469074,0,0,0.000503366261876298
"K00033",0,0,0,6.29207827345372e-05,0,0
"K00036",0,0.000566287044610835,0,0,0,0.000125841565469074
"K00046",0,0.000377524696407223,0,0,0,0
"K00052",0,0,0,0,0,6.29207827345372e-05
"K00053",0.000188762348203612,0,0,0,0,0.000188762348203612
"K00054",0,0,0,0,0.000566287044610835,0
"K00057",6.29207827345372e-05,0,0,0,0,0
"K00058",0,0.000314603913672686,0.000314603913672686,6.29207827345372e-05,0.000251683130938149,0
"K00059",0.000125841565469074,0,0.000251683130938149,6.29207827345372e-05,0.000503366261876298,0.000314603913672686
"K00060",0,6.29207827345372e-05,0,0.000125841565469074,0.000188762348203612,0
"K00074",0,0,0,0,0,6.29207827345372e-05
"K00075",0,0,0.000692128610079909,6.29207827345372e-05,0,0.000377524696407223
"K00076",0.000125841565469074,0,0,0,0,0
"K00077",0,0,0.000125841565469074,0,0,0
"K00078",0,0,0,0,0,6.29207827345372e-05
"K00087",0,0.000125841565469074,0,0,0,0
"K00088",6.29207827345372e-05,6.29207827345372e-05,0,0,0.000251683130938149,0
"K00091",0,0,0,0,0,6.29207827345372e-05
"K00097",0.000314603913672686,0,0,0,0,0
"K00099",6.29207827345372e-05,0,0,0,0,0.000314603913672686
"K00101",0,0,0,0,0,6.29207827345372e-05
"K00102",0.000943811741018058,0.00616623670798465,0.000188762348203612,0.0104448499339332,0.00213930661297427,0.000817970175548984
"K00108",0.000188762348203612,0.000125841565469074,0,0,0,0
"K00111",0.000251683130938149,0,0.000188762348203612,6.29207827345372e-05,0.000314603913672686,0.00044044547914176
"K00112",0,0,0,0,0,0.000125841565469074
"K00116",0.000188762348203612,0,0,0,0,0
"K00121",0.000125841565469074,0,0,0,0,6.29207827345372e-05
"K00122",0,0,0,0,6.29207827345372e-05,0
"K00123",0.000377524696407223,0,0,0.000188762348203612,6.29207827345372e-05,0.000629207827345372
"K00124",0.000125841565469074,0,0,0,0,0.000251683130938149
"K00132",0,0,0,0,0,6.29207827345372e-05
"K00133",0,0.000314603913672686,0.000251683130938149,0,0,0.000125841565469074
"K00134",0.00522242496696659,0.00446737557415214,0.00585163279431196,0.00346064305039955,0.00390108852954131,0.00176178191656704
"K00135",0.000251683130938149,0.000125841565469074,0.000314603913672686,0,0,0.000125841565469074
"K00138",0.000125841565469074,0,0,0,0,0
"K00140",6.29207827345372e-05,0,0.000125841565469074,6.29207827345372e-05,0,0
"K00147",0,6.29207827345372e-05,0,6.29207827345372e-05,0,0.000377524696407223
"K00150",0,0,0.000251683130938149,0,0,0
"K00154",0.000125841565469074,6.29207827345372e-05,0,0,0,6.29207827345372e-05
"K00158",0,0,6.29207827345372e-05,0,0.000629207827345372,0
"K00163",0.00044044547914176,0.000188762348203612,0,0,6.29207827345372e-05,0.000125841565469074
"K00164",0.000251683130938149,0,0.000503366261876298,0,6.29207827345372e-05,0.000377524696407223
"K00170",0,0,0,0.00044044547914176,0,0
"K00171",0,0.000125841565469074,0,0,0,0
